date,description,withdrawal,deposit,balance
2026-07-01,ONLINE TRANSFER TO SAVINGS,250.00,,12640.10
2026-07-01,SUNSET RIDGE APARTMENTS RENT,1450.00,,11190.10
2026-07-03,PLANET FITNESS MONTHLY GYM,24.99,,11165.11
2026-07-05,ELECTRIC CO UTILITY BILL,65.59,,11099.52
2026-07-06,PARKSIDE GARAGE WEEKLY PASS,22.00,,11077.52
2026-07-08,COMCAST INTERNET,79.99,,10997.53
2026-07-09,TRANSFER FROM SAVINGS,,316.22,11313.75
2026-07-10,STREAMFLIX,15.49,,11298.26
2026-07-12,SPOTIFY,10.99,,11287.27
2026-07-13,SHELL GAS STATION,48.22,,11239.05
2026-07-13,PARKSIDE GARAGE WEEKLY PASS,22.00,,11217.05
2026-07-15,EMPLOYER PAYROLL,,2587.68,13804.73
2026-07-17,WHOLE FOODS MARKET,94.82,,13709.91
2026-07-18,AMAZON MARKETPLACE 112-3357210-8841029,114.52,,13595.39
2026-07-20,ONLINE PAYMENT TO CREDIT CARD,298.04,,13297.35
2026-07-20,PARKSIDE GARAGE WEEKLY PASS,22.00,,13275.35
2026-07-21,CHIPOTLE ONLINE ORD8823910475,35.14,,13240.21
2026-07-25,SUSHI PALACE,30.61,,13209.60
2026-07-27,AMC THEATRES,34.08,,13175.52
2026-07-27,PARKSIDE GARAGE WEEKLY PASS,22.00,,13153.52
2026-07-28,STUDENT LOAN SERVICING PAYMENT,210.44,,12943.08
2026-07-31,CORNER CAFE,33.94,,12909.14
2026-08-01,EMPLOYER PAYROLL,,2346.31,15255.45
2026-08-01,ONLINE TRANSFER TO SAVINGS,250.00,,15005.45
2026-08-01,TRANSFER FROM SAVINGS,,197.25,15202.70
2026-08-01,SUSHI PALACE,12.58,,15190.12
2026-08-01,SUNSET RIDGE APARTMENTS RENT,1450.00,,13740.12
2026-08-02,TRANSFER FROM SAVINGS,,378.73,14118.85
2026-08-03,PLANET FITNESS MONTHLY GYM,24.99,,14093.86
2026-08-03,PARKSIDE GARAGE WEEKLY PASS,22.00,,14071.86
2026-08-04,CITY TRANSIT FARE,18.83,,14053.03
2026-08-05,ELECTRIC CO UTILITY BILL,68.14,,13984.89
2026-08-07,WHOLE FOODS MARKET,40.21,,13944.68
2026-08-08,COMCAST INTERNET,79.99,,13864.69
2026-08-08,SHELL GAS STATION,12.87,,13851.82
2026-08-08,ALLSTATE AUTO INSURANCE,410.00,,13441.82
2026-08-09,AMAZON MARKETPLACE 112-6602918-4471835,113.35,,13328.47
2026-08-10,STREAMFLIX,15.49,,13312.98
2026-08-10,SUSHI PALACE,15.01,,13297.97
2026-08-10,PARKSIDE GARAGE WEEKLY PASS,22.00,,13275.97
2026-08-11,CORNER CAFE,37.64,,13238.33
2026-08-12,SPOTIFY,10.99,,13227.34
2026-08-12,AMC THEATRES,19.43,,13207.91
2026-08-13,SHELL GAS STATION,43.46,,13164.45
2026-08-14,SUSHI PALACE,24.12,,13140.33
2026-08-15,EMPLOYER PAYROLL,,2360.65,15500.98
2026-08-16,WHOLE FOODS MARKET,68.70,,15432.28
2026-08-17,PARKSIDE GARAGE WEEKLY PASS,22.00,,15410.28
2026-08-20,ONLINE PAYMENT TO CREDIT CARD,266.76,,15143.52
2026-08-20,CORNER CAFE,11.70,,15131.82
2026-08-24,PARKSIDE GARAGE WEEKLY PASS,22.00,,15109.82
2026-08-25,AMAZON MARKETPLACE 112-8814402-1193756,131.14,,14978.68
2026-08-26,AMC THEATRES,36.36,,14942.32
2026-08-27,AMAZON MARKETPLACE 112-2210984-6675321,108.26,,14834.06
2026-08-28,STUDENT LOAN SERVICING PAYMENT,210.44,,14623.62
2026-08-29,TRADER JOES,77.81,,14545.81
2026-08-29,CORNER CAFE,16.89,,14528.92
2026-08-31,CHIPOTLE ONLINE ORD3092847561,37.55,,14491.37
2026-08-31,CITY TRANSIT FARE,18.67,,14472.70
2026-08-31,PARKSIDE GARAGE WEEKLY PASS,22.00,,14450.70
2026-09-01,EMPLOYER PAYROLL,,2331.25,16781.95
2026-09-01,ONLINE TRANSFER TO SAVINGS,250.00,,16531.95
2026-09-01,WHOLE FOODS MARKET,37.30,,16494.65
2026-09-01,SUNSET RIDGE APARTMENTS RENT,1450.00,,15044.65
2026-09-02,TRADER JOES,55.54,,14989.11
2026-09-02,SHELL GAS STATION,32.94,,14956.17
